,raw_name,label,pre_class_win0,pre_class_win1,pre_class_win2,pre_class_win3,pre_class_win4,pre_class_win5,pre_class_win6,pre_class_win7,pre_class_win8,pre_class_win9,pre_class_win10,pre_class_win11,pre_class_win12,pre_class_win13,pre_class_win14,pre_class_win15,pre_class_win16,pre_class_win17,pre_class_win18,pre_class_win19,pre_class_win20,pre_class_win21,pre_class_win22,pre_class_win23,pre_class_win24,pre_prob_win0,pre_prob_win1,pre_prob_win2,pre_prob_win3,pre_prob_win4,pre_prob_win5,pre_prob_win6,pre_prob_win7,pre_prob_win8,pre_prob_win9,pre_prob_win10,pre_prob_win11,pre_prob_win12,pre_prob_win13,pre_prob_win14,pre_prob_win15,pre_prob_win16,pre_prob_win17,pre_prob_win18,pre_prob_win19,pre_prob_win20,pre_prob_win21,pre_prob_win22,pre_prob_win23,pre_prob_win24,label
0,A20180921sunyt_TPD_DIA_vb6_9_1_350_1800_M,M,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.15001658,0.16145328,0.18288274,0.23072915,0.000606954,0.381349,0.025229884,0.36224216,0.054747216,9.55E-05,0.13987365,0.006618219,0.000779033,0.9569523,0.021367691,0.039342918,0.5499938,0.1410875,0.24898408,5.13E-05,0.000846414,0.00567575,5.99E-05,0.000622484,0.001016738,1
1,B20180619sunyt_TPD_DIA_b52_2_1_350_1800_B,B,Benign,Benign,Malignant,Benign,Benign,Malignant,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,0.13496502,0.41515735,0.6657299,0.27633482,0.07361856,0.7877557,0.06151157,0.23310362,0.9302935,0.06602788,0.39048216,0.00869943,0.007143391,0.2398902,0.009513324,0.026871836,0.5455309,0.07120464,0.001976468,3.08E-05,0.001200615,0.34786057,0.02455635,0.9946386,1.71E-05,0
2,B20180821sunyt_TPD_DIA_b71_3_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000740249,0.015895035,0.04533748,0.046314355,3.36E-06,0.01527731,0.000119278,0.040303733,0.000304427,1.55E-05,0.02262137,1.44E-05,4.81E-05,0.003518578,1.20E-05,0.00637628,0.09190541,0.07085877,0.001498788,0.000490454,1.16E-05,0.00168029,0.018773826,2.23E-05,2.46E-05,0
3,A20180921sunyt_TPD_DIA_vb6_2_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,0.003751145,0.23885283,0.30854508,0.19301568,2.40E-05,0.5569884,0.00180486,0.25404865,0.12115493,6.41E-05,0.10229987,2.35E-05,0.12949164,0.16846295,0.13253516,0.03892727,0.40316463,0.12847175,0.081227615,9.47E-05,0.4570367,0.60878515,3.49E-06,3.87E-06,0.001425772,0
4,A20180926sunyt_TPD_DIA_vb14_5_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000365543,0.025186894,0.17691834,0.16321331,6.08E-06,0.18389252,0.000191549,0.015857397,0.016667688,0.001959839,0.002113868,1.44E-05,5.32E-05,0.000600514,1.44E-05,0.006849805,0.12245386,0.003109254,0.015579135,1.18E-05,2.31E-05,0.000351187,1.95E-06,1.88E-05,0.000537014,0
5,C20180923sunyt_TPD_DIA_vb10_5_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.005640251,0.09213552,0.11831338,0.15999684,0.000820396,0.068068855,0.000238981,0.10802278,0.00672478,0.009680396,0.5210415,0.38696852,0.000970584,0.007668959,5.26E-05,0.27475122,0.23213351,0.03696341,0.037681602,0.002877779,2.09E-05,0.000795873,8.56E-05,3.87E-06,0.000207931,0
6,B20180806sunyt_TPD_DIA_b2_5_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000522372,0.1442285,0.0992592,0.060564402,0.000414833,0.03520325,0.00024434,0.013002353,0.000765462,8.28E-06,0.008257547,1.35E-05,5.23E-05,0.00162819,1.67E-05,0.001641105,0.068962544,0.013896975,0.007952374,0.000512634,9.33E-05,0.000992178,1.99E-05,1.03E-05,2.32E-05,0
7,B20181010sunyt_TPD_DIA_vb10_2_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.007778298,0.4258719,0.20610476,0.18644668,0.001000793,0.21743074,0.08795334,0.10198694,0.002361181,0.00154051,0.044810466,2.70E-05,0.588565,0.008390842,0.012452884,0.010614466,0.47639838,0.19904126,0.008847121,0.000136954,0.000325713,0.000273458,0.061237838,0.09235097,0.001255356,0
8,A20180930sunyt_TPD_DIA_vb21_15_1_350_1800_M,M,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Malignant,Malignant,0.00586402,0.15234932,0.15519121,0.12804826,0.99440825,0.08160784,0.001325958,0.32101202,0.002592879,7.47E-05,0.020120787,0.000698616,0.015279026,0.008144584,0.2418449,0.6836441,0.32800588,0.15431793,0.297816,0.000540998,0.99932754,0.036421657,5.92E-05,0.99711514,0.5870221,1
9,B20180812sunyt_TPD_DIA_b58_11_1_350_1800_M,M,Malignant,Benign,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,Benign,Malignant,Malignant,Malignant,Malignant,Benign,Benign,Malignant,Malignant,Benign,Malignant,Malignant,Malignant,0.744714,0.36976758,0.84367156,0.70624495,0.999998,0.6069532,0.99962115,0.9128528,0.95286393,0.99994016,0.21362452,0.9823231,0.02935353,0.6192427,0.99994266,0.92516226,0.5535727,0.26370636,0.097412236,0.99988127,0.9425071,0.3883326,0.997827,0.9979887,0.9999399,1
10,B20180925sunyt_TPD_DIA_vb9_10_1_350_1800_M,M,Malignant,Benign,Benign,Malignant,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Malignant,Malignant,Malignant,Malignant,Malignant,Malignant,Benign,Benign,Malignant,Malignant,Malignant,Malignant,Benign,Malignant,0.9460084,0.1797357,0.2290227,0.6057151,0.001538163,0.5178419,0.000361658,0.086137235,0.00397559,0.011789881,0.0925313,0.99189174,0.602774,0.96470994,0.99460983,0.7391351,0.69461143,0.27500784,0.003574727,0.77835447,0.9514842,0.52088606,0.80125254,0.002429584,0.9996809,1
